gene_id	cell_type	label
MEF2D	HSMM	1
MEOX1	HSMM	1
MET	HSMM	1
MYF5	HSMM	1
MYF6	HSMM	1
MYOD1	HSMM	1
MYOG	HSMM	1
NRG1	HSMM	1
PAX3	HSMM	1
PAX7	HSMM	1
SIX1	HSMM	1
SIX2	HSMM	1
SMTN	HSMM	1
TCF12	HSMM	1
TEAD4	HSMM	1
TGFB1	HSMM	1
ANXA3	HUVEC	1
BCAR1	HUVEC	1
CD93	HUVEC	1
EDN1	HUVEC	1
EGFL7	HUVEC	1
ERG	HUVEC	1
ETS1	HUVEC	1
ETV2	HUVEC	1
FLI1	HUVEC	1
FOXC2	HUVEC	1
FOXP1	HUVEC	1
GATA2	HUVEC	1
HIF1A	HUVEC	1
ITGB3	HUVEC	1
KDR	HUVEC	1
NFATC1	HUVEC	1
NOS3	HUVEC	1
NRP1	HUVEC	1
PECAM1	HUVEC	1
PLCG1	HUVEC	1
PVRL2	HUVEC	1
S1PR1	HUVEC	1
TAL1	HUVEC	1
TEK	HUVEC	1
CDO1	MRG	1
CHD3	MRG	1
CYB5R4	MRG	1
CYP26B1	MRG	1
DAB1	MRG	1
ERBB2	MRG	1
FABP7	MRG	1
FOXG1	MRG	1
GFAP	MRG	1
HES1	MRG	1
HES5	MRG	1
ISOC1	MRG	1
MCM5	MRG	1
NES	MRG	1
NOTCH1	MRG	1
PAX6	MRG	1
PDGFC	MRG	1
PPIG	MRG	1
RLBP1	MRG	1
RPS28	MRG	1
S100B	MRG	1
SOX1	MRG	1
SOX2	MRG	1
ALCAM	MSC	1
ALPL	MSC	1
B4GALNT1	MSC	1
CD44	MSC	1
ENG	MSC	1
FN1	MSC	1
FZD9	MSC	1
ITGA1	MSC	1
ITGB1	MSC	1
KIT	MSC	1
MCAM	MSC	1
NGFR	MSC	1
NT5E	MSC	1
PDGFB	MSC	1
SUSD2	MSC	1
THY1	MSC	1
VCAM1	MSC	1
ZEB1	MSC	1
ASCL1	neural	1
BCL11B	neural	1
CD24	neural	1
DCX	neural	1
ENO2	neural	1
FOS	neural	1
FOXG1	neural	1
GABBR1	neural	1
GAD2	neural	1
INA	neural	1
JAG1	neural	1
MAP2	neural	1
MAPT	neural	1
MSI1	neural	1
MYT1L	neural	1
NCAM1	neural	1
NR2F1	neural	1
POU3F2	neural	1
RBFOX3	neural	1
SOX11	neural	1
TUBB3	neural	1
CDKN1A	NHLF	1
COL1A1	NHLF	1
COL1A2	NHLF	1
CTGF	NHLF	1
DDR2	NHLF	1
DKK3	NHLF	1
GAS6	NHLF	1
GSN	NHLF	1
KMT2B	NHLF	1
MIF	NHLF	1
MYC	NHLF	1
OSR1	NHLF	1
P4HA1	NHLF	1
PDGFRA	NHLF	1
PRRX1	NHLF	1
S100A4	NHLF	1
SNAI1	NHLF	1
TCF21	NHLF	1
TWIST2	NHLF	1
VIM	NHLF	1
