gene_id	CD34_FPKM	GM12878_FPKM	H1-hESC_FPKM	HMEC_FPKM	HSMM_FPKM	HUVEC_FPKM	MRG_FPKM	neural_FPKM	NHLF_FPKM	MSC_FPKM
ABCB8	4.913776	3.423183	10.206559	19.61624	10.735945	18.60151	8.308006	10.329186	6.901059	6.235316
ABCB9	1.4401804	0.7358111	3.114438	10.430469	1.3267176	11.389628	4.588327	8.952802	3.21929	3.291701
ABCC1	87.65246	13.63718	27.21014	22.02218	18.50997	27.62835	11.603242	1.865343	61.06491	33.03037
ABCC10	3.505713	2.129765	7.90047	10.824749	6.935044	13.96396	8.722809	8.077146	4.993749	6.839931
ABCC11	0.08480561	0.05992802	0.009787535	0.5696092	0.09943894	0.08030008	0.022919869	0.07489359	0.12889098	0.0
ABCC12	0.0	0.007706893	0.0011411	0.016932261	0.028699553	0.0	0.011812037	0.04952965	0.0	0.0
ABCC13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC2	0.2319672	0.9306644	0.12240478	0.7019784	0.245482	1.0738853	0.06936061	0.2933789	0.5001523	0.20137988
ABCC3	0.10017726	0.8685021	0.08741441	33.39152	7.851316	2.800072	0.012032373	0.0	11.832783	2.26046
ABCC4	17.18916	46.15962	3.879006	4.815711	9.803436	10.045906	2.035529	1.661727	91.5644	61.36748
ABCC5	20.58348	9.799708	20.34012	10.735945	18.97691	16.92335	16.93508	137.7847	18.37387	8.281692
ABCC5-AS1	0.0	0.12744238	0.0	0.13835809	0.0	0.0	0.0	0.0	0.05331666	0.0
ABCC6	0.7186586	0.04722157	0.22198776	0.06648002	0.02363153	0.11193398	0.9528382	0.0	1.896937	1.614494
ABCC6P1	0.03287825	0.0	0.05578779	0.0	0.0	0.09516539	0.21307723	0.0	0.18697788	0.2719898
ABCC6P2	0.04193382	0.0	0.19961511	0.0	0.021385378	0.04772071	0.5346261	0.0	0.6705307	2.057028
ABCC8	0.01276166	0.0	1.719547	0.03452675	0.002632695	0.0	0.7676403	4.399722	0.0	0.0
ABCC9	0.007071429	0.016678875	0.000664025	0.024402629	0.8153646	0.0	0.14656801	0.13596478	1.633791	0.04739171
ABCD1	3.266521	0.6596245	1.622407	1.600606	5.792106	8.24008	7.377614	1.845902	3.51563	11.470143
ABCD2	0.0649972	6.45941	0.0	0.1338134	0.016673142	0.0	0.14798489	0.19712828	0.00388373	0.20373426
ABCD3	10.047958	19.00116	3.978789	17.82706	14.76089	5.310117	14.95918	19.74326	19.12402	12.237313
ABCD4	24.64152	4.93365	26.75163	6.517535	9.061302	19.02019	33.32238	21.30321	4.4879	8.674821
ABCE1	25.39946	52.8718	9.627044	20.67117	26.6989	9.050125	3.310662	16.8707	19.98107	12.62612
ABCF1	31.26909	18.29409	41.51796	34.45357	36.17263	23.50783	42.45954	8.267934	24.76996	49.44294
ABCF2	16.16171	28.66664	21.3528	52.51635	69.65155	31.45377	18.79537	17.74686	34.14894	17.98489
ABCF3	7.279662	15.92073	31.81287	27.8908	19.99463	39.31598	16.26161	11.982355	23.89844	10.279487
ABCG1	9.49182	11.584258	1.865343	2.741126	0.11762418	7.264218	21.47617	7.926017	0.7090906	2.177598
ABCG2	1.1734532	0.002623948	1.1149155	3.59225	0.2437261	3.057865	0.0	0.0	1.1212979	1.3963452
ABCG4	0.0	0.005781948	1.229475	0.3322302	0.0373789457	1.013229	0.7993429	0.4699897	0.2895906	0.3144144
ABCG5	0.0	0.020614304	0.000839323	0.0	0.013760343	0.0	0.014551816	0.13367677	0.0	0.0
ABCG8	0.0	0.005059238	0.000908332	0.0	0.00248535	0.0	0.010879618	0.06442529	0.0	0.0
ABHD1	1.448856	0.1790184	0.3733097	0.13903514	0.03262608	0.3317036	0.2354487	0.0	0.11163147	0.2866386
ABHD10	11.523622	26.88269	4.490975	9.443314	8.031788	6.877669	9.242472	31.9163	15.06776	10.344106
ABHD11	3.900757	2.905071	24.98403	21.41623	8.903452	12.140685	11.922745	6.127602	3.570986	7.324493
ABHD12	12.98186	9.461701	32.39525	13.61133	10.691702	18.26482	30.57041	23.09671	21.85438	66.30072
ABHD12B	0.3417043	0.0	0.9577779	0.3041378	0.3122307	0.13279917	0.03452675	0.0	0.5048595	0.07760421
ABHD13	15.10992	24.9263	6.769804	11.252121	14.4154	11.138679	6.774956	8.982686	15.00902	8.722809
ABHD14A	14.92724	4.530422	10.154139	13.77613	11.905391	22.4505	44.92663	37.81274	6.598099	25.49571
ABHD14A-ACY1	0.0	0.0	0.009245881	0.2924194	0.07317377	0.4031227	1.697557	6.445013	0.393819	0.0
ABHD14B	71.0567	34.06866	12.149591	23.23408	39.64312	32.65798	5.077986	0.3109084	20.49334	9.012959
ABHD15	5.664102	3.913357	0.626035	5.81389	2.761824	4.656193	2.342412	0.13835809	4.074283	3.783592
ABHD16A	22.20807	13.80387	28.08739	14.76438	21.13706	34.70825	41.49208	75.49605	20.89288	17.67881
ABHD16B	3.708529	1.7046	5.996038	3.700274	2.282207	4.875715	5.493788	1.480731	1.2701099	1.911457
ABHD17A	9.738547	5.103093	15.37486	8.837881	6.326417	26.78964	32.52101	19.78446	12.208265	30.9776
ABHD17B	20.07577	9.18174	20.75268	7.90907	9.215312	8.895673	15.65636	23.39431	7.214578	6.532716
ABHD17C	1.623108	7.654876	19.77194	20.14355	11.61387	7.070754	6.850005	9.994816	18.69024	7.516574
ABHD2	26.87558	8.783427	5.358324	10.905221	35.6632	9.065605	10.97155	10.19209	21.33667	7.055281
ABHD3	11.411822	24.50831	5.440551	12.060911	1.997731	5.773379	2.308209	4.935281	3.388118	4.738293
ABHD4	16.34393	19.74326	43.89934	13.55383	34.45357	47.26629	23.17551	1.1548998	41.02717	17.926
ABHD5	1.742807	7.590071	1.998962	9.991135	13.10571	3.280642	1.2925453	9.037666	21.79751	3.215602
ABHD6	1.7067	17.53941	4.617586	6.537353	2.592767	6.41718	19.75446	20.22657	4.98261	3.604562
ABHD8	6.127602	2.645486	21.3677	4.099779	4.611337	10.787035	26.66466	15.14278	6.139703	5.072738
ABI1	40.70705	24.94944	13.76349	29.96663	36.67635	24.61627	11.110988	25.31216	27.12529	33.08744
ABI2	22.23251	11.495663	17.43369	8.760947	23.73608	10.005751	26.71211	79.15211	13.23115	12.106288
ABI3	0.16436106	31.60016	1.872145	0.0	0.1153465	27.72016	0.020370216	0.0	0.21512095	2.078188
ABI3BP	1.755847	0.3275628	0.014602738	0.11500321	17.40014	27.62126	0.3618981	0.2901884	2.663395	0.9825084
ABL1	11.189246	6.693736	37.68151	17.50587	40.00247	28.24437	41.47972	10.110851	29.3389	25.46799
ABL2	2.6985	4.098451	2.895066	13.63104	48.7264	23.92605	1.4452588	4.997762	7.175359	3.446771
ABLIM1	97.52232	16.76827	25.74641	52.68424	41.44952	91.08685	18.08223	5.841099	4.454225	5.114415
ABLIM2	0.025733376	0.038269808	1.601436	0.7601499	1.76671	0.4120369	2.087807	7.017035	0.05093042	0.05042348
ABLIM3	0.05255377	0.0	0.12641546	18.88781	42.35922	13.10571	0.24599	6.224982	38.50038	57.94713
ABO	87.91844	0.0	0.023767962	0.05265202	0.0	0.0	0.06651416	0.0	0.0	0.0
ABP1	0.1790184	0.04217796	0.07629655	0.0	0.0	0.012484695	0.0	0.0	0.012598521	0.0
ABR	12.71132	12.73574	28.72032	38.43234	23.24189	38.71886	50.08513	17.68951	30.25073	26.83658
ABRA	0.0	0.015786085	0.00057157	0.04980257	0.2368664	0.08439366	0.0	0.07304439	0.03418104	0.0
ABRACL	88.98287	155.1398	64.17436	52.23484	37.23578	36.11796	39.54893	115.25952	34.62425	50.66831
ABT1	7.943058	22.7041	32.27558	22.05956	11.463687	26.59713	22.33746	16.32015	12.394084	12.48733
ABTB1	19.62913	3.365974	6.609681	11.160565	9.637838	17.33253	6.64418	0.8411516	10.24856	5.474473
ABTB2	0.11112794	0.5898725	8.738238	2.524792	10.4439	0.3342689	8.004932	0.3165492	0.6382189	0.5405792
AC2	0.07030366	0.0	0.011587621	0.14063693	0.016331979	0.017119298	0.0	0.0	0.018094744	0.0
ACAA1	25.66096	35.83121	15.36743	50.05286	30.29858	30.223	24.36397	17.29825	30.48602	22.50578
ACAA2	19.98107	22.30443	23.80261	11.877231	23.42061	9.284652	27.46687	1.995859	13.85747	18.04816
ACACA	10.498037	12.65752	34.11963	38.3871	14.42931	26.12041	18.55822	13.67902	19.38689	13.51441
ACACB	4.253791	0.09627232	2.068708	1.133201	0.7325619	0.6525114	3.020257	0.10966889	1.3315378	0.508873
ACAD10	9.929934	7.162518	8.183338	5.576549	4.490975	5.727194	7.346142	6.388201	8.626852	4.196535
ACAD11	17.44865	11.129056	3.16623	7.754358	4.675569	10.592138	7.665946	7.014409	11.32629	4.79028
ACAD8	13.91705	14.53664	34.27382	16.63588	14.03106	20.0454	18.22221	35.34144	14.79243	6.547779
ACAD9	16.09503	18.73323	32.50842	43.1874	25.32306	55.2911	19.23538	15.25723	27.54074	27.99121
ACADL	0.027348982	0.0	0.03449889	0.06715708	0.027131124	0.0	0.05479275	0.04462293	0.0	0.0
ACADM	41.01377	120.04619	9.664619	8.050252	14.57932	6.250968	18.60585	55.06991	17.30176	6.614694
ACADS	10.459356	3.382304	6.685368	1.603316	2.830941	9.3511	2.490124	1.571258	3.708529	2.898304
ACADSB	3.215602	11.256425	2.921664	1.902559	6.260709	2.439034	3.271806	9.656075	6.586234	2.852137
ACADVL	110.09276	74.50323	66.44509	126.1475	97.52232	103.34016	161.9565	123.3852	101.7802	84.24763
ACAN	0.0	0.006065852	0.2849305	0.18723615	2.164028	0.06361915	0.00386367	0.018697047	0.19317904	0.16071437
ACAP1	72.4889	29.35111	10.459356	0.14490394	0.2931789	0.0530196	0.21660806	0.04740722	0.13279917	0.7984884
ACAP2	19.75977	20.61657	5.05837	8.238281	11.169604	6.085687	2.315244	21.99694	23.36645	14.07019
ACAP3	10.701111	3.332872	14.40867	12.290529	10.269847	23.43799	51.67776	99.36077	11.204775	19.04163
ACAT1	16.2161	67.68295	11.905391	31.66997	30.0658	18.86417	11.143578	26.97329	50.62454	16.40519
ACAT2	22.10415	164.3312	49.92742	110.44222	34.21473	43.32631	65.26192	127.3284	28.72032	66.40203
ACBD3	10.75265	20.2762	5.318852	18.14931	32.63835	10.175499	6.226466	15.92073	39.34152	32.47216
ACBD4	8.031788	3.838823	8.495587	2.850416	1.912371	4.277441	7.124148	1.4145211	2.65819	4.124129
ACBD5	9.390765	16.11104	2.582495	5.854613	11.871137	5.507814	5.162239	15.72329	8.504079	8.596425
ACBD6	149.5149	27.60851	35.40716	43.87941	29.40747	32.33111	40.26089	66.22013	50.93909	123.057
ACBD7	2.862966	0.922561	12.162249	0.4585467	1.411041	1.814958	5.661457	2.867522	0.804107	0.3928618
ACCS	26.64393	14.78861	4.882025	3.679939	1.4189093	13.18236	0.20117252	0.2708045	4.30646	3.722178
ACCSL	0.0	0.13237053	0.0	0.0	0.0	0.0	0.0	0.11418009	0.0	0.0
ACD	9.002805	4.582951	33.35763	17.59443	6.410886	19.52982	32.74125	26.65231	5.212574	6.343271
ACE	3.03335	0.0065472035	1.3007854	0.3503065	0.3295959	39.24566	0.2527754	0.3193608	0.913704	1.542474
ACE2	0.06426639	0.023393774	0.011859846	0.09861043	0.01974288	0.03360054	0.004829054	0.12893485	0.016593602	0.0
ACER1	0.024147931	0.0	0.0033616363	0.0	0.1349547	0.10167304	0.0	0.04838679	0.016980069	0.0
ACER2	0.6104901	2.874434	4.422409	7.501021	1.538528	2.924493	0.5189958	2.46539	1.4477763	1.1494624
ACER3	7.468884	7.070754	4.997762	29.60743	8.16627	10.804851	2.853628	7.424224	6.863883	9.747567
ACHE	0.0605581	1.4145211	1.489978	0.13197942	2.423653	0.5009786	3.494057	5.449358	0.3086801	1.0759413
ACIN1	87.35974	36.66107	72.88926	40.28238	44.82847	61.94423	156.1915	50.70088	62.27467	36.3169
ACLY	49.25342	82.21829	140.3437	344.5152	101.84219	113.53795	73.35397	81.46944	105.67919	101.02504
ACMSD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015058806	0.0
ACN9	12.383068	22.26962	9.708043	9.622761	8.835224	2.11098	9.689851	14.03762	5.253302	12.41493
ACO1	7.543676	4.915758	28.95966	39.5647	50.42339	39.34152	16.5353	9.401956	197.5468	26.54221
ACO2	40.33912	11.313512	42.91338	44.29678	29.57592	43.93054	47.77295	41.19686	25.067	28.08102
ACOT1	0.7676403	0.9866025	0.8734299	2.359546	0.2871462	4.439084	0.4465662	0.16904681	2.656909	6.374423
ACOT11	3.642458	0.10273654	3.648757	7.999173	8.095545	4.401261	0.3253875	0.0	0.8915407	0.7595881
ACOT12	0.03461474	0.15890977	0.14270326	0.0	0.030322533	0.0	0.006464642	1.3480663	0.39772	0.7808239
ACOT13	5.313212	9.171415	8.562505	7.966627	6.319984	4.049675	6.314239	5.029675	9.91201	8.51287
ACOT2	9.688054	2.96829	1.4611834	6.349025	6.455711	11.548245	1.430845	0.3633035	10.07738	7.074897
ACOT4	1.1030162	2.225121	1.0156482	0.8691703	0.7393674	1.0544983	0.009412429	0.41699	0.6392884	0.6705307
ACOT6	0.10550223	0.16224384	0.06664285	0.0433586	0.0	0.0	0.016692755	0.0	0.0	0.1089994
ACOT7	17.98964	26.49252	158.661	236.1648	86.05335	66.59025	79.74993	44.12916	53.94427	58.1436
ACOT8	11.280429	19.2291	76.37285	29.72021	16.08087	38.24129	14.60613	27.08793	21.88535	9.631191
ACOT9	13.02212	33.11531	16.18194	46.38019	41.6625	34.24674	14.28719	0.7279206	39.75163	24.8164
ACOX1	4.639978	6.866334	3.77847	9.907998	12.58346	8.95835	2.292338	12.70793	9.761952	6.032717
ACOX2	1.791264	0.00221842	1.4477763	0.3917067	3.82612	5.133175	2.273489	0.0	9.940887	0.7862081
ACOX3	3.761914	3.398026	1.1462657	3.012246	4.711648	7.056982	6.291838	5.040381	4.807395	6.685368
ACOXL	0.028789743	0.6982563	12.365901	1.437617	0.002812821	0.05648953	0.10781041	0.05164398	0.006147198	0.20788531
ACP1	73.15673	105.87087	64.29874	52.15221	59.36385	36.41608	107.54216	137.2245	67.04939	48.5251
ACP2	10.495094	4.11445	16.26161	15.19282	21.15064	35.73266	15.15642	19.79899	16.54347	22.07917
ACP5	3.080748	3.286924	11.610601	20.07577	0.005676688	1.0915175	0.03103681	0.0	2.399327	5.042076
ACP6	14.17522	3.683664	10.055026	4.573018	2.354315	6.461188	15.69715	0.9194616	4.377566	4.907543
ACPL2	0.7112175	0.4246432	11.523622	2.510491	7.162518	0.810316	23.58778	46.97312	9.423831	2.856662
ACPP	0.2325187	0.4449165	0.4946071	0.6839737	0.004713868	0.0	0.03552018	0.0	0.7204903	1.795956
ACPT	0.03597939	0.025597658	0.022993364	0.0	0.0	0.03639707	0.03521341	0.0	0.013487551	0.0
ACR	0.8909971	0.0	0.018303625	0.0	0.005548753	0.2311832	0.15829428	0.0	0.020837397	0.0
ACRBP	10.274377	0.5654901	1.2408275	0.023312644	0.3377652	2.399327	0.2787022	0.7244119	0.3397836	0.18304532
ACRC	0.3013486	1.2441904	0.14699773	0.6002002	0.8313327	0.6550447	0.2580762	3.07773	0.7866299	0.6973083
ACRV1	0.13775039	0.6150736	0.0967001	0.4874023	0.10542847	0.2606541	0.21250323	0.19351422	0.19455622	0.0
ACSBG1	0.09162626	0.6967936	2.426021	0.2625263	0.15843918	0.283053	0.13409593	0.12729049	0.5644837	0.11482341
ACSBG2	0.1026325	0.300682	0.001752052	0.0	0.022595848	0.0184397235	0.024375496	0.03319697	0.020731387	0.0
ACSF2	11.839697	4.989787	7.990825	14.60613	7.523138	14.92949	10.677376	0.0	17.73857	17.76963
ACSF3	14.2684	4.065621	6.958894	5.592315	3.597504	8.702778	3.93682	6.041572	3.418315	11.277371
ACSL1	26.75163	39.65318	1.3230712	21.44762	21.08986	6.8479	2.863558	16.0638	14.8858	2.935043
ACSL3	4.612561	24.99177	17.93488	64.37824	59.4132	23.3324	27.24304	39.54893	37.20254	45.44586
ACSL4	14.71529	44.97561	7.970906	36.9982	53.16754	16.36226	8.264628	41.58146	100.75328	32.0426
ACSL5	22.57154	35.49071	0.001763166	0.4076676	0.14342753	1.4687738	0.01607086	0.15311287	1.3323121	0.5185336
ACSL6	0.018903038	0.001465984	0.7707886	0.4059656	0.009988758	0.021480578	1.1820514	21.6604	0.0	0.0
ACSM1	0.370379	0.16790664	0.10609313	0.590316	0.004670679	0.16887112	0.04289229	0.022201249	0.0	0.0
